id,tech_type,tech_id,created_at,user_id
19,3100,1,2025-04-27 17:18:16.9182,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
4,3102,2,2024-10-03 14:47:52.075102,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
12,3103,3103,2024-12-15 09:04:40.785,8b7e6973-695d-421f-8073-c9b60de832d8
8,3103,1,2024-10-07 09:44:31.627,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
10,3103,1,2024-10-16 13:06:13.025136,d84b2120-1643-4cef-bf41-4dbbe80ccbdf
11,3103,3103,2024-12-06 12:07:01.409,fd05b378-881f-440f-8375-ae09f42747a4
13,3103,3103,2025-01-22 01:55:58.287,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
2,3104,4,2024-10-03 14:47:38.101139,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
3,3105,3,2024-10-03 14:47:39.774908,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
14,3105,3105,2025-02-03 09:48:02.566,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
15,3105,3105,2025-02-03 09:48:05.828,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
17,3105,3105,2025-02-03 09:48:08.153,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
16,3105,3105,2025-02-03 09:48:07.965,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
18,3105,3105,2025-02-03 09:48:08.379,f1bbe6ba-ab77-4e1e-b54d-8f193309aafb
5,3107,5,2024-10-03 14:47:56.492615,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
9,3107,5,2024-10-14 22:58:39.038167,e37bc16e-603e-40ad-9151-9452da18af09
33,active-asteroids,,2025-07-24 12:53:59.828095,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
32,asteroid-hunting,,2025-07-24 12:03:11.156719,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
27,cameracount,,2025-07-22 17:30:11.177775,e37bc16e-603e-40ad-9151-9452da18af09
26,cameracount,,2025-07-22 17:30:10.941036,e37bc16e-603e-40ad-9151-9452da18af09
40,findMinerals,,2025-10-21 16:16:00.961436,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
34,planet-hunting,,2025-07-26 13:58:09.538331,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
35,planetary-analysis,,2025-07-26 13:58:15.098729,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
23,probecount,,2025-07-22 17:29:53.613924,e37bc16e-603e-40ad-9151-9452da18af09
20,probecount,,2025-04-27 17:20:10.621558,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
24,probecount,,2025-07-22 17:30:01.019175,e37bc16e-603e-40ad-9151-9452da18af09
22,probecount,,2025-07-22 17:29:53.119207,e37bc16e-603e-40ad-9151-9452da18af09
25,probecount,,2025-07-22 17:30:01.841369,e37bc16e-603e-40ad-9151-9452da18af09
28,proberange,,2025-07-22 17:30:58.759783,e37bc16e-603e-40ad-9151-9452da18af09
21,proberange,,2025-04-28 08:46:15.163962,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
29,proberange,,2025-07-22 17:30:59.138156,e37bc16e-603e-40ad-9151-9452da18af09
37,probereceptors,,2025-09-20 12:17:42.893452,38033b01-393e-4565-95bc-d178586cd88f
39,satellitecount,,2025-10-21 08:29:48.235809,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725
30,sensorcount,,2025-07-22 17:31:05.058301,e37bc16e-603e-40ad-9151-9452da18af09
31,stationsize,,2025-07-22 17:31:05.672919,e37bc16e-603e-40ad-9151-9452da18af09
