Order,Type,Mean,Std,Min,Max,SNR
0,0,4604.8076,15.249921,4577.994,4630.7373,301.95618
1,0,4642.5435,15.3766575,4615.5073,4668.689,301.9215
2,0,4680.9033,15.50534,4653.6406,4707.2676,301.88977
3,0,4719.903,15.636009,4692.41,4746.4893,301.86108
4,0,4759.5576,15.76873,4731.8315,4786.37,301.83517
5,0,4799.885,15.903551,4771.9214,4826.9263,301.81213
6,0,4840.9014,16.040533,4812.6973,4868.176,301.7918
7,0,4882.625,16.179722,4854.176,4910.136,301.77435
8,0,4925.0737,16.321205,4896.3765,4952.826,301.7592
9,0,4968.268,16.465017,4939.3174,4996.2646,301.74692
10,0,5012.227,16.611246,4983.019,5040.472,301.73697
11,0,5056.9707,16.759947,5027.501,5085.4688,301.72952
12,0,5102.5205,16.911196,5072.7847,5131.276,301.7244
13,0,5148.899,17.065065,5118.8926,5177.9155,301.72162
14,0,5196.128,17.22163,5165.846,5225.411,301.72104
15,0,5244.232,17.380974,5213.67,5273.786,301.72256
16,0,5293.235,17.543163,5262.3877,5323.065,301.72635
17,0,5343.163,17.7083,5312.025,5373.274,301.73215
18,0,5394.041,17.876457,5362.608,5424.4385,301.73993
19,0,5445.899,18.04774,5414.164,5476.5874,301.7496
20,0,5498.7637,18.222237,5466.7217,5529.7485,301.76117
21,0,5552.6646,18.400047,5520.31,5583.952,301.77448
22,0,5607.6333,18.581266,5574.96,5639.2285,301.7896
23,0,5663.701,18.766005,5630.7026,5695.611,301.80646
24,0,5720.9014,18.954384,5687.5723,5753.132,301.8247
25,0,5779.27,19.146498,5745.6025,5811.8267,301.84476
26,0,5838.8413,19.342484,5804.8296,5871.732,301.86615
27,0,5899.654,19.542463,5865.2905,5932.885,301.88895
28,0,5961.7476,19.746567,5927.025,5995.325,301.91312
29,0,6025.162,19.954916,5990.0728,6059.094,301.93872
30,0,6089.9404,20.167667,6054.477,6124.2344,301.96555
31,0,6156.127,20.38497,6120.2812,6190.7905,301.99344
32,0,6223.7686,20.606974,6187.532,6258.8096,302.02243
33,0,6292.9126,20.83384,6256.278,6328.3403,302.05246
34,0,6363.6113,21.065731,6326.5684,6399.433,302.0836
35,0,6435.917,21.30283,6398.457,6472.1416,302.1156
36,0,6509.884,21.545319,6471.998,6546.5215,302.1484
37,0,6585.5713,21.79339,6547.2495,6622.6313,302.18204
38,0,6663.041,22.04725,6624.272,6700.532,302.2164
39,0,6742.3535,22.307104,6703.1284,6780.2876,302.2514
40,0,6823.5786,22.57317,6783.885,6861.965,302.28714
41,0,6906.784,22.845692,6866.6113,6945.634,302.32327
42,0,6992.0444,23.124903,6951.3804,7031.369,302.35995
43,0,7079.436,23.411064,7038.269,7119.2476,302.39703
44,0,7169.04,23.704449,7127.3574,7209.351,302.43436
45,0,7260.9424,24.00533,7218.73,7301.7646,302.4721
46,0,7355.2314,24.314001,7312.476,7396.5786,302.51013
47,0,7452.0015,24.63079,7408.6895,7493.888,302.54822
48,0,7551.3525,24.95602,7507.4683,7593.792,302.5864
49,0,7653.3887,25.290041,7608.917,7696.3965,302.6246
50,0,7758.22,25.633217,7713.1455,7801.812,302.66275
51,0,7865.964,25.985931,7820.2686,7910.156,302.70087
52,0,7976.7427,26.348595,7930.4097,8021.5513,302.73883
53,0,8090.686,26.721642,8043.6978,8136.13,302.77652
54,0,8207.933,27.105532,8160.2695,8254.03,302.81393
55,0,8328.628,27.500748,8280.27,8375.397,302.85095
56,0,8452.926,27.907791,8403.853,8500.389,302.88766
57,0,8580.991,28.327217,8531.18,8629.167,302.92392
58,0,8712.997,28.759592,8662.426,8761.908,302.9597
0,1,239.55342,107.599106,-3.1383533,462.87503,2.2263515
