id,item,owner,quantity,location,sector,planetSector,notes,time_of_deploy,basePlanet
9,1,e3344c5c-384f-4898-aea6-397c2ac1edf6,1,4,,,,,
10,8,8b09080f-1306-4ca7-b3b4-b284f047669e,1,,,,,,
11,8,fdccaca9-0b18-4e14-9ca8-75c9d69ccd43,1,,,,,,
56,13,acd2a804-4b6d-408f-8510-6716bd1bac99,1,,,,,,
57,13,acd2a804-4b6d-408f-8510-6716bd1bac99,1,,,,,,
14,8,83ec2c02-0ece-4be3-a714-9cd5ca5c10b2,1,,,,,,
15,8,cd4b7ab1-1297-40d7-9815-2adf18efce07,1,,,,,,
17,10,e3344c5c-384f-4898-aea6-397c2ac1edf6,1,,,,,,
19,9,8b09080f-1306-4ca7-b3b4-b284f047669e,1,,,,,,
20,10,8b09080f-1306-4ca7-b3b4-b284f047669e,1,,,,,,
21,8,de191534-352f-4136-bac5-391ff940ec09,1,,,,,,
22,10,de191534-352f-4136-bac5-391ff940ec09,1,,,,,,
23,8,cdfb438d-2fa4-4745-b96d-5bc277455425,1,,,,,,
24,9,56922ce7-dddb-441d-8656-3fc6e1f3867f,1,,,,,,
25,8,56922ce7-dddb-441d-8656-3fc6e1f3867f,1,,,,,,
26,10,56922ce7-dddb-441d-8656-3fc6e1f3867f,1,,,,,,
27,9,e3344c5c-384f-4898-aea6-397c2ac1edf6,1,,,,,,
61,13,acd2a804-4b6d-408f-8510-6716bd1bac99,1,,,,,,
106,23,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,,,,,first rover created by user,,2
18,10,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,25,,,
63,13,acd2a804-4b6d-408f-8510-6716bd1bac99,1,,20,,,,
64,13,acd2a804-4b6d-408f-8510-6716bd1bac99,1,,20,,,,
65,13,0bf3d653-fce9-43e5-88af-2c24cc4ba76b,1,,22,,,,
54,14,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,18,18,,2024-04-24 06:51:00.013+00,
108,14,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,,Structure,,2
58,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,18,,2024-04-24 06:51:00.013+00,
31,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,5,11,11,18,,2024-04-24 06:51:00.013+00,
59,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,18,,2024-04-24 06:51:00.013+00,
60,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,2,18,,2024-04-24 06:51:00.013+00,
55,18,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,18,18,,2024-04-24 06:51:00.013+00,
68,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,2,18,,2024-04-24 06:51:00.013+00,
69,18,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,18,18,,2024-04-24 06:51:00.013+00,
32,13,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,5,1,2,18,,2024-04-24 06:51:00.013+00,
4,8,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,18,,2024-04-24 06:51:00.013+00,
16,9,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,18,,2024-04-24 06:51:00.013+00,
78,11,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,0,,,,Reward collected from rover/automaton 74,,
74,23,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,,,18,18,first rover created by user,,
104,22,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,25,Structure,,2
105,12,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,1,,,25,Structure,,2
