id,content,author,created_at,media,planets2,extended_content,anomaly,faction
2,Testing capability of auto-tagging,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-04-23 14:18:27.11369+00,[],24,,,
3,i'd say this is a planet,924d6839-d194-49c7-bc28-5791d5e9700e,2023-04-25 03:28:40.464215+00,[],24,,,
4,Seems like it may qualify for a planet,49dfa8bb-286c-4262-8606-00810b09a2e8,2023-04-25 05:00:34.529914+00,[],44,,,
1,Testing capability of auto-tagging,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-04-23 14:17:18.605795+00,[],43,,,
7,"There's a lot of dips but they seem to be irregular, I'm not sure what this means?",a8dc8241-a0e0-45c3-b036-82b949fe6e55,2023-05-01 02:14:31.980018+00,[],48,,,
8,Here's a similar curve that's been phase folded for comparison.,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-05-01 06:03:55.450258+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1682921022578cebdc7a2-d8af-45b3-b37f-80f328ff54d6KOI-1597.png""]",51,,,
9,"What to the blank spaces at ~1418-1421 and ~1423-1425 mean? ",6e72b591-5cff-4220-a7d3-18354615e411,2023-05-02 04:21:45.365698+00,[],43,,,
10,"There are two sharp dips but these aren't repeated anywhere, so I'm guessing this isn't a planet then?",6101c11a-79cb-4aca-8e01-cfb7c0ac818b,2023-05-02 04:33:59.97253+00,[],8,,,
11,There seems to be a slight pattern in the graph but not enough to classify it as a pattern,b25a1e47-3180-4afd-9366-e700031199fa,2023-05-03 12:46:13.119605+00,[],49,,,
12,"There’s a dip but not repeated ",a64b1cbc-6b55-4fde-a863-44792c8398bb,2023-05-06 16:43:56.149413+00,[],42,,,
13,"The colour of these dots makes it hard to be confident, but there is a ""W"" shape around the center-left of the curve and it is repeated (although not to the same magnitude) on the right side of the graph. To make it easier to identify, I'd recommend changing the colour of the background, or the colour of the dots themselves, and adding more graphs or a wider range of dates/time.",a39d8686-b2c4-4d78-85b9-fe7fe29c26c8,2023-05-09 02:39:42.181018+00,[],47,,,
14,"My spidey senses are telling me there's a slim possibility this is a planet. Just about as slim as me, and I'm rather slim. no significant dips except for some odd dots on either side, and there's no repetitive pattern to these either. There seems to be no sign of intelligent life forms anywhere. BUZZ LOOK AN ALIEN! WHERE?! AAAHHHH hahah. This data is binned, I don't know where I'd locate some more delicious data, but I think it would be needed to draw a conclusion on this fine specimen of space shite. There could be some potential gaps where the telescope wasn't pointing at the  so called ""planet"", but it already gives us a solid chunk of data to work with. ",924d6839-d194-49c7-bc28-5791d5e9700e,2023-06-20 12:31:26.153828+00,[],51,,,
17,"Kepler-10 is also referred to as KIC 11904151. It appears there's a regular period of ~0.8 days (which is confirmed by Exofop > Tess), but it's a bit hard to see because there's so much noise that even after binning the data it's hard to identify any noticeable pattern.",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-07-12 03:28:26.235451+00,[],45,,,
15,"Hey Luzz,

Just so people know, the information that Luzz shared, while being discussed semi-satiracally, is relevant and helpful. Firstly, there are some points on the phase folded graph that appear to be evidence of a potential dip, however you are correct in that they're not recurring enough to be conclusive evidence for a planet. ",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-06-20 12:41:11.376569+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1687264622494cebdc7a2-d8af-45b3-b37f-80f328ff54d6image.png"",""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1687264638567cebdc7a2-d8af-45b3-b37f-80f328ff54d6Screenshot 2023-06-20 at 10.37.08 pm.png""]",51,"I also agree that we need more data, which is why I will attach some extra graphs from different sectors for this object of interest/anomaly.

Thanks for the contribution, you'll now be awarded a share in the constituent anomalies generated from this object once we get off our arse and start building the economy feature.

Happy hunting/star sailing!",,
24,This data set shows promise of an orbiting planet as the light dims over time,8b09080f-1306-4ca7-b3b4-b284f047669e,2023-08-19 00:59:24.588143+00,[],59,,,
16,"Just another thing, keep an eye on the deepnote block 
for each planet",cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-06-20 12:42:51.534812+00,"[""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/media/1687264968793cebdc7a2-d8af-45b3-b37f-80f328ff54d6binned.png""]",51,"for future references:
https://embed.deepnote.com/b4c251b4-c11a-481e-8206-c29934eb75da/b56a0704304940e49c38823795edaa20/ccf2424c886d481bb7846a6f41f5ddb8

",,
5,Check planet id 4,cebdc7a2-d8af-45b3-b37f-80f328ff54d6,2023-04-25 05:12:33.816259+00,[],44,,,
