id,item,owner,quantity,notes,time_of_deploy,anomaly,parentItem,configuration
1,23,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,Created for mission 1370104,,4,,"{""Power"":3,""Speed"":3,""Capacity"":3}"
5,23,2a9fedd4-1036-4ff8-b5ff-d7925c8fa04a,1,Created for mission 1370104,,4,,"{""Power"":3,""Speed"":3,""Capacity"":2}"
6,17,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,2,Created by rover 1,2024-08-27 15:33:08.495+00,3,,
7,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,3,Created by rover 1,2024-08-29 02:29:22.275+00,4,,
8,17,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,14,Created by rover 1,2024-08-29 02:32:48.839+00,4,,
9,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,28,Created by rover 1,2024-08-29 13:57:37.483+00,4,,
12,21,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,4,Created by rover 1,2024-08-31 03:36:29.542+00,4,,
13,3102,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,,4,,"{""Uses"":5}"
14,3101,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,,,,"{""Uses"":1}"
15,11,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
17,13,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
18,14,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
20,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
21,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
24,26,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:35.619+00,4,,
29,11,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:39.615+00,4,,
31,13,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:39.615+00,4,,
34,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:39.615+00,4,,
35,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:39.615+00,4,,
43,11,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
45,13,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
48,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
49,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
53,28,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
55,30,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.153+00,4,,
57,11,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
59,13,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
62,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
63,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
64,22,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
66,26,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
68,29,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
70,32,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.631+00,4,,
71,11,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.788+00,4,,
73,13,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.788+00,4,,
76,16,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.788+00,4,,
77,19,8b36a3d3-eb24-4858-ab71-05fe4b95dba7,1,,2024-09-02 11:31:44.788+00,4,,
