id,content,anomalytype,anomalySet,type,classification_status,avatar_url,created_at,deepnote,configuration,parentAnomaly
1,Kepler-69c,planet,,Super-Earth,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base3.png,2023-12-09 22:45:53.406827+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/c0a1f3fb754c4d8e9a4af06561bdf63b?height=2137,"{""mass"":2.14,""ticId"":""Kepler-69"",""radius"":1.71,""smaxis"":0.64,""ticId2"":""KOI 172.02"",""density"":2.36,""gravity"":0.73,""lightkurve"":""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planetsss/_1710155300825"",""temperature"":325.15,""orbital_period"":242.47,""temperature_eq"":548.15}",
2,Kepler-186f,planet,,Terrestrial Earth-like,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base6.png,2023-12-11 02:14:32.494124+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/26fe61c341554e0eb36d116ea86cc371?height=1214.46875,"{""mass"":1.44,""ticId"":""Kepler 186"",""radius"":1.17,""smaxis"":0.432,""ticId2"":""KOI 571.05"",""gravity"":1.17,""lightkurve"":""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planetsss/_1710155300825"",""temperature"":-85,""orbital_period"":129.95}",
3,Kepler-442b,planet,,Terrestrial Super-Earth,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base2.png,2023-12-11 07:04:10.985628+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/cc87705e6f8741548f240421ad98eb8a?height=840.34375,"{""mass"":2.3,""ticId"":""Kepler-442"",""radius"":1.34,""smaxis"":0.409,""ticId2"":""KOI-4742.01"",""lightkurve"":""https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planetsss/_1710159536497"",""orbital_period"":112.3,""temperature_eq"":233}",
4,Kepler-22b,planet,,Water world,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base6.png,2023-12-11 07:06:10.540091+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/de23ffaa2ccc4d0d8889cefbfbda83df?height=388.78125,"{""mass"":9.1,""ticId"":""Kepler-22"",""radius"":2.1,""smaxis"":0.812,""ticId2"":""KOI 172.02"",""density"":5.2,""temperature"":295,""orbital_period"":289.86,""temperature_eq"":279}",
5,Trappist-1f,planet,,Terrestrial earth-size,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base1.png,2023-12-11 07:10:40.276653+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/2e256956eb414262ae3902216eeb924f?height=440,"{""mass"":1.039,""ticId"":""Trappist-1"",""radius"":1.045,""smaxis"":0.03749,""ticId2"":""TOI 6838.05"",""density"":5.009,""orbital_period"":9.21,""temperature_eq"":217.65}",
6,TOI-700d,planet,,Goldilocks terrestrial earth-like,,https://qwbufbmxkjfaikoloudl.supabase.co/storage/v1/object/public/planets/avatars/Base6.png,2023-12-11 07:12:23.761093+00,https://embed.deepnote.com/f8de697b-ba49-4014-b2b2-fe5f4cc3c026/da5fa6f8ac26477b841b89a02a690805/209424fcd5de426bbdd87d1e5420dde4?height=598.75,"{""mass"":1.72,""ticId"":""TIC 150428135"",""radius"":1.073,""smaxis"":0.1633,""ticId2"":""TOI-700.02"",""orbital_period"":37.42,""temperature_eq"":268.85}",
20,Venus,planet,solar-system,,,,2024-09-23 08:55:51.629934+00,,,
40,Mars,planet,solar-system,,,,2024-09-23 08:55:29.689442+00,,,
69,Earth,planet,solar-system,,,,2024-09-21 11:22:25.389961+00,,,
4567867,4567867,zoodexOthers,zoodex-burrowingOwl,,,,2024-09-22 03:41:55.416656+00,,,
